Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Mohamed Salah,175,71,3,28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,0.64,0.36,0.99,0.46,0.82,0.75,0.42,1.17,0.55,0.97,RW,RW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mohammed Kudus,177,70,3,27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,117,80,216,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31,RW,"RW, CAM",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Moisés Caicedo,178,71,3,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Morgan Gibbs-White,178,70,2,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181,0.14,0.29,0.43,0.11,0.4,0.2,0.24,0.44,0.17,0.42,CAM,"CAM, CF, LW",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Moussa Diaby,171,67,3,24.2,6,8,14,6,0,0,1,0,7,7,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,RM,"RM, LM",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Murillo,184,79,3,31,0,2,2,0,0,0,5,0,1.8,1.8,1.2,3,22,89,7,0,0.06,0.06,0,0.06,0.06,0.04,0.1,0.06,0.1,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mykhailo Mudryk,175,61,4,17.5,5,2,7,5,0,0,5,0,4.4,4.4,4.1,8.5,92,45,139,0.29,0.11,0.4,0.29,0.4,0.25,0.23,0.48,0.25,0.48,LW,"LW, LM",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Myles Peart-Harris,187,70,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,CM,"CM, CAM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Naouirou Ahamada,183,73,3,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20,0,0,0,0,0,0.13,0.01,0.13,0.13,0.13,CM,CM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nathan Aké,180,75,3,22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16,CB,"CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Collins,193,81,3,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,CB,"CB, RB",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Fraser,186,76,4,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,2,21,0,0,0,0,0,0.16,0.04,0.19,0.16,0.19,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nathan Patterson,183,80,3,11.2,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2,17,38,39,0,0.18,0.18,0,0.18,0.03,0.15,0.18,0.03,0.18,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
